693.944: [GC 693.944: [ParNew: 423474K->36696K(440896K), 0.0393490 secs] 1301854K->918148K(8339648K), 0.0396220 secs] [Times: user=0.68 sys=0.01, real=0.04 secs] 
694.893: [GC 694.893: [ParNew: 428632K->48960K(440896K), 0.6315480 secs] 1310084K->1006951K(8339648K), 0.6318500 secs] [Times: user=2.69 sys=0.22, real=0.63 secs] 
699.301: [GC 699.301: [ParNew: 440896K->48960K(440896K), 0.5191650 secs] 1398887K->1099678K(8339648K), 0.5194520 secs] [Times: user=9.79 sys=0.16, real=0.52 secs] 
701.290: [GC 701.290: [ParNew: 440896K->37189K(440896K), 0.1740810 secs] 1491614K->1132841K(8339648K), 0.1743610 secs] [Times: user=3.16 sys=0.07, real=0.17 secs] 
705.050: [GC 705.050: [ParNew: 429125K->11830K(440896K), 0.0188890 secs] 1524777K->1107482K(8339648K), 0.0190730 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
709.581: [GC 709.582: [ParNew: 403766K->15518K(440896K), 0.0182460 secs] 1499418K->1111170K(8339648K), 0.0184630 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
715.145: [GC 715.145: [ParNew: 407454K->25603K(440896K), 0.0264780 secs] 1503106K->1121254K(8339648K), 0.0267170 secs] [Times: user=0.52 sys=0.00, real=0.03 secs] 
719.172: [GC 719.172: [ParNew: 417539K->31445K(440896K), 0.0294310 secs] 1513190K->1128439K(8339648K), 0.0297630 secs] [Times: user=0.46 sys=0.00, real=0.03 secs] 
720.710: [GC 720.710: [ParNew: 423381K->34513K(440896K), 0.0279710 secs] 1520375K->1135233K(8339648K), 0.0282130 secs] [Times: user=0.41 sys=0.01, real=0.03 secs] 
728.962: [GC 728.962: [ParNew: 426449K->34547K(440896K), 0.0416030 secs] 1527169K->1142123K(8339648K), 0.0418770 secs] [Times: user=0.70 sys=0.00, real=0.04 secs] 
730.579: [GC 730.579: [ParNew: 426483K->32177K(440896K), 0.0456410 secs] 1534059K->1146666K(8339648K), 0.0458790 secs] [Times: user=0.54 sys=0.02, real=0.04 secs] 
734.400: [GC 734.400: [ParNew: 424113K->25660K(440896K), 0.0297810 secs] 1538602K->1143660K(8339648K), 0.0300590 secs] [Times: user=0.40 sys=0.03, real=0.03 secs] 
738.955: [GC 738.955: [ParNew: 417596K->32473K(440896K), 0.0385410 secs] 1535596K->1153320K(8339648K), 0.0388000 secs] [Times: user=0.66 sys=0.02, real=0.04 secs] 
744.745: [GC 744.745: [ParNew: 424409K->35725K(440896K), 0.0521930 secs] 1545256K->1164305K(8339648K), 0.0525000 secs] [Times: user=0.61 sys=0.02, real=0.06 secs] 
746.324: [GC 746.324: [ParNew: 427661K->32380K(440896K), 0.0238610 secs] 1556241K->1164704K(8339648K), 0.0241030 secs] [Times: user=0.45 sys=0.01, real=0.03 secs] 
